epoch,train_loss,train_acc,val_loss,val_acc
1,0.4706392740063126,77.6059336450506,0.41574952158477757,81.29647449916892
2,0.44140543856572584,79.34306072654101,0.39550013583856863,82.45997725483335
3,0.43372156212387336,79.80772034878635,0.3842622592315807,83.1335841133759
4,0.4299324764619534,80.00602696581156,0.3857463268550126,83.04610270317558
5,0.4267792725081021,80.27724042733132,0.37801596495238216,83.5534948823375
6,0.42779113613938097,80.17419875377901,0.3778367861167534,83.27355436969644
7,0.42554185792548843,80.25974278465263,0.37586265308456823,83.54474674131747
8,0.423978909481647,80.37153327954428,0.3768883835185658,83.4747616131572
9,0.42431693123668013,80.33848217670675,0.3707541065616208,83.74595398477824
10,0.42263969109505184,80.57178407908934,0.3711675780428039,83.75470212579827
11,0.4184007717907707,80.68260248272108,0.3721055435759204,83.77219840783833
12,0.4173906465989435,80.75842560099542,0.3716365458873602,83.8159391129385
13,0.4175681773208163,80.7467605058763,0.37051196075402776,83.87717610007873
