epoch,train_loss,train_acc,val_loss,val_acc
1,0.45734070653029213,78.72675486774699,0.4226997029948068,80.47414924328581
2,0.4195739031116106,81.00339259849714,0.4020007687431949,81.86510366547108
3,0.40953210278719804,81.63330773493016,0.3979219517924569,82.00507392179162
4,0.40689162729455747,81.75773541620087,0.3924702836083365,82.18003674219229
5,0.40316889678616175,82.07949762323688,0.3879721960612944,82.68742892135421
6,0.4013357399132908,82.0347814252802,0.38699042046820364,82.59119937013385
7,0.39930769205093386,82.17087420167006,0.3853900902963185,82.83614731869477
8,0.4005407318472862,82.10282781347513,0.3854165229972426,82.73116962645437
9,0.3985313450149948,82.25544614128374,0.38447097385679924,82.78365847257457
10,0.39757814925528984,82.25350195876389,0.3859377392730513,82.58245122911381
11,0.39504583949573674,82.35459944979635,0.3855213494776012,82.73991776747441
12,0.39641686804696896,82.33807389837757,0.3841745270715727,82.68742892135421
13,0.396988816058747,82.39348310019345,0.38414509010898484,82.78365847257457
14,0.3960273985868294,82.41000865161222,0.38397016937916095,82.80115475461464
15,0.39432753591246406,82.48583176988656,0.3840112465453315,82.8448954597148
16,0.3962288067115595,82.39153891767359,0.384268654434831,82.87113988277491
17,0.3945612442484169,82.51305032516453,0.38373129126075267,82.88863616481498
